Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1938-06-02,110.68,,,,,,,110.68
1938-06-03,109.71,,,,,,,109.71
1938-06-04,111.82,,,,,,,111.82
1938-06-06,113.19,,,,,,,113.19
1938-06-07,113.12,,,,,,,113.12
1938-06-08,113.75,,,,,,,113.75
1938-06-09,115.74,,,,,,,115.74
1938-06-10,114.47,,,,,,,114.47
1938-06-11,114.23,,,,,,,114.23
1938-06-13,111.87,,,,,,,111.87
1938-06-14,112.78,,,,,,,112.78
1938-06-15,113.24,,,,,,,113.24
1938-06-16,113.97,,,,,,,113.97
1938-06-17,113.06,,,,,,,113.06
1938-06-18,113.23,,,,,,,113.23
1938-06-20,118.61,,,,,,,118.61
1938-06-21,121.34,,,,,,,121.34
1938-06-22,123.99,,,,,,,123.99
1938-06-23,127.4,,,,,,,127.4
1938-06-24,129.06,,,,,,,129.06
1938-06-25,131.94,,,,,,,131.94
1938-06-27,130.48,,,,,,,130.48
1938-06-28,130.38,,,,,,,130.38
1938-06-29,135.87,,,,,,,135.87
1938-06-30,133.88,,,,,,,133.88
1938-07-01,136.53,,,,,,,136.53
1938-07-02,138.53,,,,,,,138.53
1938-07-05,136.52,,,,,,,136.52
1938-07-06,137.78,,,,,,,137.78
1938-07-07,137.45,,,,,,,137.45
1938-07-08,135.66,,,,,,,135.66
1938-07-09,136.2,,,,,,,136.2
1938-07-11,134.56,,,,,,,134.56
1938-07-12,137.49,,,,,,,137.49
1938-07-13,136.9,,,,,,,136.9
1938-07-14,135.81,,,,,,,135.81
1938-07-15,137.3,,,,,,,137.3
1938-07-16,138.53,,,,,,,138.53
1938-07-18,140.39,,,,,,,140.39
1938-07-19,143.67,,,,,,,143.67
1938-07-20,141.84,,,,,,,141.84
1938-07-21,141.92,,,,,,,141.92
1938-07-22,142.25,,,,,,,142.25
1938-07-23,144.24,,,,,,,144.24
1938-07-25,144.91,,,,,,,144.91
1938-07-26,143.33,,,,,,,143.33
1938-07-27,140.24,,,,,,,140.24
1938-07-28,142.2,,,,,,,142.2
1938-07-29,141.2,,,,,,,141.2
1938-07-30,141.25,,,,,,,141.25
1938-08-01,140.37,,,,,,,140.37
1938-08-02,141.97,,,,,,,141.97
1938-08-03,141.73,,,,,,,141.73
1938-08-04,142.13,,,,,,,142.13
1938-08-05,144.47,,,,,,,144.47
1938-08-06,145.67,,,,,,,145.67
1938-08-08,144.33,,,,,,,144.33
1938-08-09,143.21,,,,,,,143.21
1938-08-10,142.4,,,,,,,142.4
1938-08-11,139.32,,,,,,,139.32
1938-08-12,136.51,,,,,,,136.51
1938-08-13,136.21,,,,,,,136.21
1938-08-15,136.98,,,,,,,136.98
1938-08-16,138.44,,,,,,,138.44
1938-08-17,139.03,,,,,,,139.03
1938-08-18,139.33,,,,,,,139.33
1938-08-19,141.13,,,,,,,141.13
1938-08-20,141.2,,,,,,,141.2
1938-08-22,140.92,,,,,,,140.92
1938-08-23,143.7,,,,,,,143.7
1938-08-24,143.53,,,,,,,143.53
1938-08-25,144.07,,,,,,,144.07
1938-08-26,142.94,,,,,,,142.94
1938-08-27,141.95,,,,,,,141.95
1938-08-29,137.06,,,,,,,137.06
1938-08-30,138.26,,,,,,,138.26
1938-08-31,139.27,,,,,,,139.27
1938-09-01,138.36,,,,,,,138.36
1938-09-02,141.38,,,,,,,141.38
1938-09-03,142.48,,,,,,,142.48
1938-09-06,141.47,,,,,,,141.47
1938-09-07,143.08,,,,,,,143.08
1938-09-08,142.19,,,,,,,142.19
1938-09-09,139.9,,,,,,,139.9
1938-09-10,138.29,,,,,,,138.29
1938-09-12,140.19,,,,,,,140.19
1938-09-13,134.19,,,,,,,134.19
1938-09-14,132.93,,,,,,,132.93
1938-09-15,136.22,,,,,,,136.22
1938-09-16,134.85,,,,,,,134.85
1938-09-17,131.82,,,,,,,131.82
1938-09-19,134.1,,,,,,,134.1
1938-09-20,138.41,,,,,,,138.41
1938-09-21,139.29,,,,,,,139.29
1938-09-22,137.35,,,,,,,137.35
1938-09-23,134.08,,,,,,,134.08
1938-09-24,133.02,,,,,,,133.02
1938-09-26,129.91,,,,,,,129.91
1938-09-27,130.19,,,,,,,130.19
1938-09-28,133.68,,,,,,,133.68
1938-09-29,137.16,,,,,,,137.16
1938-09-30,141.45,,,,,,,141.45
1938-10-01,143.13,,,,,,,143.13
1938-10-03,144.29,,,,,,,144.29
1938-10-04,144.23,,,,,,,144.23
1938-10-05,148.32,,,,,,,148.32
1938-10-06,148.1,,,,,,,148.1
1938-10-07,148.41,,,,,,,148.41
1938-10-08,149.75,,,,,,,149.75
1938-10-10,149.55,,,,,,,149.55
1938-10-11,149.41,,,,,,,149.41
1938-10-13,152.46,,,,,,,152.46
1938-10-14,151.45,,,,,,,151.45
1938-10-15,151.96,,,,,,,151.96
1938-10-17,150.81,,,,,,,150.81
1938-10-18,152.1,,,,,,,152.1
1938-10-19,150.02,,,,,,,150.02
1938-10-20,151.52,,,,,,,151.52
1938-10-21,152.15,,,,,,,152.15
1938-10-22,154.11,,,,,,,154.11
1938-10-24,154.12,,,,,,,154.12
1938-10-25,154.17,,,,,,,154.17
1938-10-26,152.4,,,,,,,152.4
1938-10-27,152.69,,,,,,,152.69
1938-10-28,151.07,,,,,,,151.07
1938-10-29,151.07,,,,,,,151.07
1938-10-31,151.73,,,,,,,151.73
1938-11-01,151.39,,,,,,,151.39
1938-11-02,152.21,,,,,,,152.21
1938-11-03,152.31,,,,,,,152.31
1938-11-04,152.1,,,,,,,152.1
1938-11-05,152.12,,,,,,,152.12
1938-11-07,154.91,,,,,,,154.91
1938-11-09,158.08,,,,,,,158.08
1938-11-10,157.47,,,,,,,157.47
1938-11-12,158.41,,,,,,,158.41
1938-11-14,155.61,,,,,,,155.61
1938-11-15,154.66,,,,,,,154.66
1938-11-16,151.54,,,,,,,151.54
1938-11-17,152.78,,,,,,,152.78
1938-11-18,149.93,,,,,,,149.93
1938-11-19,150.38,,,,,,,150.38
1938-11-21,150.26,,,,,,,150.26
1938-11-22,149.56,,,,,,,149.56
1938-11-23,149.88,,,,,,,149.88
1938-11-25,150.1,,,,,,,150.1
1938-11-26,148.45,,,,,,,148.45
1938-11-28,146.14,,,,,,,146.14
1938-11-29,147.07,,,,,,,147.07
1938-11-30,149.82,,,,,,,149.82
1938-12-01,148.63,,,,,,,148.63
1938-12-02,147.57,,,,,,,147.57
1938-12-03,147.5,,,,,,,147.5
1938-12-05,147.47,,,,,,,147.47
1938-12-06,148.33,,,,,,,148.33
1938-12-07,148.73,,,,,,,148.73
1938-12-08,147.63,,,,,,,147.63
1938-12-09,147.39,,,,,,,147.39
1938-12-10,148.31,,,,,,,148.31
1938-12-12,148.65,,,,,,,148.65
1938-12-13,149.59,,,,,,,149.59
1938-12-14,151.83,,,,,,,151.83
1938-12-15,151.82,,,,,,,151.82
1938-12-16,150.89,,,,,,,150.89
1938-12-17,150.36,,,,,,,150.36
1938-12-19,150.38,,,,,,,150.38
1938-12-20,150.46,,,,,,,150.46
1938-12-21,149.58,,,,,,,149.58
